Domain,Area,Element,Item,Year,Unit,Value
"Suite of Food Security Indicators","Eritrea","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.73"
"Suite of Food Security Indicators","Estonia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.65"
"Suite of Food Security Indicators","Eswatini","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.27"
"Suite of Food Security Indicators","Ethiopia","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.68"
"Suite of Food Security Indicators","Fiji","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.64"
"Suite of Food Security Indicators","Finland","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.08"
"Suite of Food Security Indicators","France","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.28"
"Suite of Food Security Indicators","Gabon","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.1"
"Suite of Food Security Indicators","Gambia","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.08"
"Suite of Food Security Indicators","Georgia","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.37"
"Suite of Food Security Indicators","Germany","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.59"
"Suite of Food Security Indicators","Ghana","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.09"
"Suite of Food Security Indicators","Greece","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.07"
"Suite of Food Security Indicators","Greenland","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.92"
"Suite of Food Security Indicators","Grenada","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.01"
"Suite of Food Security Indicators","Guatemala","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.65"
"Suite of Food Security Indicators","Guinea","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.7"
"Suite of Food Security Indicators","Guinea-Bissau","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.5"
"Suite of Food Security Indicators","Guyana","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.04"
"Suite of Food Security Indicators","Haiti","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.67"
"Suite of Food Security Indicators","Honduras","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.56"
"Suite of Food Security Indicators","Hungary","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.81"
"Suite of Food Security Indicators","Iceland","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.35"
"Suite of Food Security Indicators","India","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.76"
"Suite of Food Security Indicators","Indonesia","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.5"
"Suite of Food Security Indicators","Iran (Islamic Republic of)","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.93"
"Suite of Food Security Indicators","Iraq","Value","Political stability and absence of violence/terrorism (index)","2017","index","-2.31"
"Suite of Food Security Indicators","Ireland","Value","Political stability and absence of violence/terrorism (index)","2017","index","1"
"Suite of Food Security Indicators","Israel","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.89"
"Suite of Food Security Indicators","Italy","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.31"
"Suite of Food Security Indicators","Jamaica","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.31"
"Suite of Food Security Indicators","Japan","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.11"
"Suite of Food Security Indicators","Jordan","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.5"
"Suite of Food Security Indicators","Kazakhstan","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.04"
"Suite of Food Security Indicators","Kenya","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.13"
"Suite of Food Security Indicators","Kiribati","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.88"
"Suite of Food Security Indicators","Kuwait","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.05"
"Suite of Food Security Indicators","Kyrgyzstan","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.43"
"Suite of Food Security Indicators","Lao People's Democratic Republic","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.4"
"Suite of Food Security Indicators","Latvia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.46"
"Suite of Food Security Indicators","Lebanon","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.63"
"Suite of Food Security Indicators","Lesotho","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.19"
"Suite of Food Security Indicators","Liberia","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.36"
"Suite of Food Security Indicators","Libya","Value","Political stability and absence of violence/terrorism (index)","2017","index","-2.36"
"Suite of Food Security Indicators","Lithuania","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.78"
"Suite of Food Security Indicators","Luxembourg","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.33"
"Suite of Food Security Indicators","Madagascar","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.3"
"Suite of Food Security Indicators","Malawi","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.25"
"Suite of Food Security Indicators","Malaysia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.12"
"Suite of Food Security Indicators","Maldives","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.23"
"Suite of Food Security Indicators","Mali","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.91"
"Suite of Food Security Indicators","Malta","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.25"
"Suite of Food Security Indicators","Marshall Islands","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.87"
"Suite of Food Security Indicators","Mauritania","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.63"
"Suite of Food Security Indicators","Mauritius","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.97"
"Suite of Food Security Indicators","Mexico","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.72"
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.18"
"Suite of Food Security Indicators","Mongolia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.79"
"Suite of Food Security Indicators","Montenegro","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.06"
"Suite of Food Security Indicators","Morocco","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.37"
"Suite of Food Security Indicators","Mozambique","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.93"
"Suite of Food Security Indicators","Myanmar","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.08"
"Suite of Food Security Indicators","Namibia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.63"
"Suite of Food Security Indicators","Nauru","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.52"
"Suite of Food Security Indicators","Nepal","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.69"
"Suite of Food Security Indicators","Netherlands","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.92"
"Suite of Food Security Indicators","New Zealand","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.59"
"Suite of Food Security Indicators","Nicaragua","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.05"
"Suite of Food Security Indicators","Niger","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.27"
"Suite of Food Security Indicators","Nigeria","Value","Political stability and absence of violence/terrorism (index)","2017","index","-2"
"Suite of Food Security Indicators","North Macedonia","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.25"
"Suite of Food Security Indicators","Norway","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.17"
"Suite of Food Security Indicators","Oman","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.75"
"Suite of Food Security Indicators","Pakistan","Value","Political stability and absence of violence/terrorism (index)","2017","index","-2.41"
"Suite of Food Security Indicators","Palau","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.87"
"Suite of Food Security Indicators","Palestine","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.66"
"Suite of Food Security Indicators","Panama","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.39"
"Suite of Food Security Indicators","Papua New Guinea","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.7"
"Suite of Food Security Indicators","Paraguay","Value","Political stability and absence of violence/terrorism (index)","2017","index","0"
"Suite of Food Security Indicators","Peru","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.26"
"Suite of Food Security Indicators","Philippines","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.18"
"Suite of Food Security Indicators","Poland","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.52"
"Suite of Food Security Indicators","Portugal","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.12"
"Suite of Food Security Indicators","Puerto Rico","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.48"
"Suite of Food Security Indicators","Qatar","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.66"
"Suite of Food Security Indicators","Republic of Korea","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.32"
"Suite of Food Security Indicators","Republic of Moldova","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.32"
"Suite of Food Security Indicators","Romania","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.06"
"Suite of Food Security Indicators","Russian Federation","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.64"
"Suite of Food Security Indicators","Rwanda","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.09"
"Suite of Food Security Indicators","Saint Kitts and Nevis","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.65"
"Suite of Food Security Indicators","Saint Lucia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.99"
"Suite of Food Security Indicators","Saint Vincent and the Grenadines","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.89"
"Suite of Food Security Indicators","Samoa","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.18"
"Suite of Food Security Indicators","Sao Tome and Principe","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.19"
"Suite of Food Security Indicators","Saudi Arabia","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.58"
"Suite of Food Security Indicators","Senegal","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.05"
"Suite of Food Security Indicators","Serbia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.09"
"Suite of Food Security Indicators","Seychelles","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.79"
"Suite of Food Security Indicators","Sierra Leone","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.04"
"Suite of Food Security Indicators","Singapore","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.62"
"Suite of Food Security Indicators","Slovakia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.91"
"Suite of Food Security Indicators","Slovenia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.87"
"Suite of Food Security Indicators","Solomon Islands","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.2"
"Suite of Food Security Indicators","Somalia","Value","Political stability and absence of violence/terrorism (index)","2017","index","-2.26"
"Suite of Food Security Indicators","South Africa","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.28"
"Suite of Food Security Indicators","South Sudan","Value","Political stability and absence of violence/terrorism (index)","2017","index","-2.45"
"Suite of Food Security Indicators","Spain","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.28"
"Suite of Food Security Indicators","Sri Lanka","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.07"
"Suite of Food Security Indicators","Sudan","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.98"
"Suite of Food Security Indicators","Suriname","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.13"
"Suite of Food Security Indicators","Sweden","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.98"
"Suite of Food Security Indicators","Switzerland","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.26"
"Suite of Food Security Indicators","Syrian Arab Republic","Value","Political stability and absence of violence/terrorism (index)","2017","index","-2.62"
"Suite of Food Security Indicators","Tajikistan","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.67"
"Suite of Food Security Indicators","Thailand","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.75"
"Suite of Food Security Indicators","Timor-Leste","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.07"
"Suite of Food Security Indicators","Togo","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.88"
"Suite of Food Security Indicators","Tonga","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.79"
"Suite of Food Security Indicators","Trinidad and Tobago","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.28"
"Suite of Food Security Indicators","Tunisia","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.02"
"Suite of Food Security Indicators","Turkey","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.79"
"Suite of Food Security Indicators","Turkmenistan","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.13"
"Suite of Food Security Indicators","Tuvalu","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.24"
"Suite of Food Security Indicators","Uganda","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.57"
"Suite of Food Security Indicators","Ukraine","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.87"
"Suite of Food Security Indicators","United Arab Emirates","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.62"
"Suite of Food Security Indicators","United Kingdom of Great Britain and Northern Ireland","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.33"
"Suite of Food Security Indicators","United Republic of Tanzania","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.56"
"Suite of Food Security Indicators","United States of America","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.34"
"Suite of Food Security Indicators","Uruguay","Value","Political stability and absence of violence/terrorism (index)","2017","index","1.05"
"Suite of Food Security Indicators","Uzbekistan","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.24"
"Suite of Food Security Indicators","Vanuatu","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.7"
"Suite of Food Security Indicators","Venezuela (Bolivarian Republic of)","Value","Political stability and absence of violence/terrorism (index)","2017","index","-1.25"
"Suite of Food Security Indicators","Viet Nam","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.29"
"Suite of Food Security Indicators","Yemen","Value","Political stability and absence of violence/terrorism (index)","2017","index","-2.94"
"Suite of Food Security Indicators","Zambia","Value","Political stability and absence of violence/terrorism (index)","2017","index","0.15"
"Suite of Food Security Indicators","Zimbabwe","Value","Political stability and absence of violence/terrorism (index)","2017","index","-0.71"
